#  wl flux error bpmap
3.557823e+03 6.636999e-20 1.819028e-18   0.000000
3.558423e+03 1.120178e-18 1.957062e-18   0.000000
3.559023e+03 5.373449e-18 2.273729e-18   0.000000
3.559623e+03 7.540989e-19 2.090666e-18   0.000000
3.560224e+03 3.812924e-18 1.810886e-18   0.000000
3.560824e+03 1.228517e-18 1.646252e-18   0.000000
3.561424e+03 -1.392594e-18 1.994219e-18   0.000000
3.562024e+03 4.614102e-18 2.204429e-18   0.000000
3.562624e+03 9.833782e-19 1.829947e-18   0.000000
3.563224e+03 3.326967e-18 1.758956e-18   0.000000
3.563824e+03 -1.306438e-19 1.771723e-18   0.000000
3.564424e+03 1.225124e-18 1.914175e-18   0.000000
3.565025e+03 7.758364e-19 2.148155e-18   0.000000
3.565625e+03 1.508292e-18 1.799754e-18   0.000000
3.566225e+03 1.910687e-19 1.557668e-18   0.000000
3.566825e+03 -8.981576e-19 1.610771e-18   0.000000
3.567425e+03 1.096128e-18 1.724777e-18   0.000000
3.568025e+03 2.590886e-18 1.745408e-18   0.000000
3.568625e+03 -1.838314e-18 1.933721e-18   0.000000
3.569225e+03 4.097717e-19 1.960846e-18   0.000000
3.569826e+03 6.546375e-19 1.706473e-18   0.000000
3.570426e+03 6.780858e-19 1.696141e-18   0.000000
3.571026e+03 -2.889373e-19 1.583357e-18   0.000000
3.571626e+03 1.097355e-18 1.565056e-18   0.000000
3.572226e+03 2.758986e-18 1.589592e-18   0.000000
3.572826e+03 2.897838e-18 1.728592e-18   0.000000
3.573426e+03 2.103572e-18 1.945744e-18   0.000000
3.574026e+03 -1.195816e-18 1.812679e-18   0.000000
3.574627e+03 -7.147183e-19 1.645558e-18   0.000000
3.575227e+03 7.025085e-19 1.589295e-18   0.000000
3.575827e+03 1.030372e-18 1.610476e-18   0.000000
3.576427e+03 -1.604922e-18 1.619020e-18   0.000000
3.577027e+03        nan        nan   0.000000
3.577627e+03 3.241422e-18 1.660455e-18   0.000000
3.578227e+03 1.181179e-18 1.826154e-18   0.000000
3.578827e+03 -2.512790e-19 1.731845e-18   0.000000
3.579428e+03 1.350403e-18 1.621192e-18   0.000000
3.580028e+03 4.046875e-18 1.768153e-18   0.000000
3.580628e+03 2.448330e-19 1.710719e-18   0.000000
3.581228e+03 -2.595219e-18 1.548677e-18   0.000000
3.581828e+03 1.514239e-18 1.530873e-18   0.000000
3.582428e+03 1.353893e-18 1.564837e-18   0.000000
3.583028e+03 5.044181e-19 1.612962e-18   0.000000
3.583628e+03 2.984153e-18 1.824531e-18   0.000000
3.584228e+03 3.531223e-18 1.769390e-18   0.000000
3.584829e+03 -4.507806e-19 1.596925e-18   0.000000
3.585429e+03 1.307865e-18 1.612606e-18   0.000000
3.586029e+03 -2.408615e-18 1.537811e-18   0.000000
3.586629e+03 9.563251e-19 1.590653e-18   0.000000
